County,Per Capita Income,Median Household Income,Average Annual Pay,% of Population in Poverty,% of Population Under 18 in Poverty
Anderson,38807,50879,48215,20.9,27.6
Andrews,50248,76600,67730,9.2,12
Angelina,42536,49943,43185,17,25.1
Aransas,54374,51461,40181,17.1,30.8
Archer,55290,69566,39001,6.9,11.2
Armstrong,60233,62256,41945,9.3,12.4
Atascosa,41599,60594,51506,14.9,22
Austin,55686,60593,52723,11.4,18
Bailey,49737,48259,42716,14.4,23.3
Bandera,48461,64389,39386,11,21.3
Bastrop,42177,74612,43347,10.8,16.4
Baylor,53984,44392,38251,15.3,21.8
Bee,31834,46316,38410,23.1,26.1
Bell,46594,53639,51085,14.7,21.4
Bexar,48569,60477,56156,15,20.5
Blanco,58805,66383,52746,9.8,14.6
Borden,66783,69499,44200,7.5,8.5
Bosque,45635,58056,44802,12.5,19.2
Bowie,44151,50326,43760,17.4,23.4
Brazoria,51812,83576,60095,8.3,10
Brazos,43430,53570,45728,22.3,19.5
Brewster,52483,48537,43944,14,16.6
Briscoe,45758,50062,35465,13.4,22.8
Brooks,41529,33513,45830,28.7,45
Brown,42771,48752,40208,15.6,22.3
Burleson,49975,64836,50580,13.1,19.9
Burnet,53751,63813,46817,9.5,16.4
Caldwell,38734,66128,40828,12.7,18.6
Calhoun,52180,58470,74656,12.4,21.4
Callahan,45798,54862,45481,12.2,19
Cameron,33690,44440,36665,24.4,34.6
Camp,40272,43130,41807,16.7,24.8
Carson,48021,66597,87661,8.3,10.7
Cass,41275,50595,39871,17.7,25.6
Castro,71612,55139,39688,15.3,20.4
Chambers,59687,89991,66603,9.3,11
Cherokee,38190,45894,38116,16.7,24.4
Childress,34028,45473,39678,21.4,24.1
Clay,48038,62763,39721,11.1,14.6
Cochran,44903,44584,44576,19.2,29.4
Coke,45856,51050,49756,11.4,18
Coleman,47128,43623,35010,16,28.1
Collin,71246,101560,73602,6.2,6.7
Collingsworth,44903,47885,42916,16.9,25.5
Colorado,51732,52726,46248,12.7,18.4
Comal,62994,79290,49014,7.5,9.4
Comanche,47959,47282,38607,15.9,24
Concho,41219,47412,44585,13.5,20.9
Cooke,54759,66323,48249,11.3,16.1
Coryell,38222,58398,45909,12.7,16.8
Cottle,68268,44430,45801,17.9,31.7
Crane,49749,67547,58800,9,12.9
Crockett,46364,54458,45597,12.4,17.7
Crosby,41146,42804,39769,19.8,30.3
Culberson,69350,47479,60932,18.6,29.4
Dallam,65132,55253,50496,11.1,16
Dallas,65401,65770,75038,13.7,20.1
Dawson,42595,47233,42865,18.7,24.4
Deaf Smith,54950,51412,46537,15.5,22.6
Delta,43628,50456,28700,14.3,21.5
Denton,63283,90880,55099,6.9,7.6
DeWitt,60890,53899,45846,20.5,27.6
Dickens,38730,42034,36281,18.9,27.7
Dimmit,44874,42788,54812,25.5,34.4
Donley,45336,57526,34026,16.3,24.8
Duval,42410,40601,38563,20,32.1
Eastland,65416,50317,46374,17,23.2
Ector,49887,62669,60823,13.6,17.9
Edwards,55329,45330,47868,19.1,31.8
El Paso,41818,48522,42978,17.6,22.7
Ellis,49333,79849,48640,7.9,11.1
Erath,43900,61453,39436,12.6,15.5
Falls,39865,44590,41040,20,25.2
Fannin,42562,59746,43626,15.4,17.5
Fayette,57962,63713,44736,9.4,14.4
Fisher,49100,52828,44945,13.3,17.6
Floyd,42627,44256,38271,17.7,29.5
Foard,52630,40955,31344,16.8,29.9
Fort Bend,61791,97210,54028,7.4,9.4
Franklin,44725,58927,46624,12.9,20.4
Freestone,40407,54502,43339,13.3,16.7
Frio,33407,47007,51416,22.3,28.8
Gaines,47826,63528,55150,11.1,19.8
Galveston,57941,78465,54632,9.9,14.1
Garza,31223,50934,42182,20.6,23.4
Gillespie,68885,64365,42525,9.2,15.2
Glasscock,87334,85001,60409,7.3,9.9
Goliad,49513,54970,43960,13.2,20.8
Gonzales,47272,55363,45576,14.3,22.3
Gray,45091,54141,50606,14.2,18
Grayson,47045,59554,47374,13.6,20.8
Gregg,49152,51394,48465,18.1,26.3
Grimes,39033,57795,52393,15.3,20.6
Guadalupe,49405,78909,47890,8.5,10.7
Hale,38674,46589,41504,17.6,24.6
Hall,35416,36654,30797,18.6,36.7
Hamilton,65685,52840,40176,14.7,20.9
Hansford,66588,61059,48273,10.7,15.4
Hardeman,45863,63479,40025,15,23.6
Hardin,49159,69151,46055,10.4,12.9
Harris,60183,61906,74737,15.9,23.3
Harrison,45396,55198,51295,15.6,21.9
Hartley,76005,74686,45134,9.5,9.1
Haskell,46070,44847,39484,20,25.6
Hays,50212,77511,44662,9.6,9.9
Hemphill,61340,65718,55354,9.5,14.5
Henderson,43356,52660,40569,14.2,22.6
Hidalgo,31153,46653,37315,23.9,32.5
Hill,44776,56565,45020,14,20.4
Hockley,46051,55469,56046,12.9,19.5
Hood,55132,85449,44089,9.4,14.8
Hopkins,45219,53634,42242,12.7,18.9
Houston,44693,45989,57654,20,27.7
Howard,45105,58445,52881,15.7,17.8
Hudspeth,26835,40666,62654,24.2,33.1
Hunt,42819,53760,49227,12.6,17.6
Hutchinson,46860,62536,66275,12.1,15.4
Irion,72353,73776,59671,6.9,7.4
Jack,41038,56028,52540,13.6,18.4
Jackson,47642,56101,47883,12.7,17.5
Jasper,43486,51153,42877,17.3,24.9
Jeff Davis,48623,55718,38673,22.2,59.7
Jefferson,46547,48808,58904,18.3,25.9
Jim Hogg,36847,41620,43268,20.1,30.5
Jim Wells,46483,48773,42829,20.1,32.9
Johnson,47654,67382,49088,9.5,11.7
Jones,35520,47019,41637,19.5,21.2
Karnes,61330,56006,59138,17.5,22.9
Kaufman,47580,76352,47072,9.2,12.7
Kendall,84853,103216,53257,6.7,8.6
Kenedy,46296,45980,71463,10.8,13.8
Kent,51139,53472,42031,11.3,12.3
Kerr,56093,57425,46051,11.6,16.5
Kimble,48071,47894,35381,15.7,32.7
King,81541,78210,46390,12.4,21.3
Kinney,35119,62557,49192,17.9,22.7
Kleberg,43560,51574,43054,20.8,30
Knox,42857,46053,45721,16.3,24.6
La Salle,41114,45647,64913,24,28.3
Lamar,46538,44688,45487,19.6,26.9
Lamb,50667,48123,44710,17.6,24.5
Lampasas,54153,69051,38858,10,18
Lavaca,57399,57999,42393,10.6,14.5
Lee,53791,61444,50808,10.6,15
Leon,42878,52878,54278,13.8,17.9
Liberty,40904,61230,47694,14.4,20
Limestone,41072,53143,45070,16.8,19.7
Lipscomb,83655,67775,61670,11.3,14.8
Live Oak,38734,54031,60583,17,23.8
Llano,52538,60706,41021,10.9,20.3
Loving,49072,97491,64776,3.9,11.3
Lubbock,46502,56477,47656,15.8,18.4
Lynn,40351,51003,52015,14.4,19.6
Madison,35865,58674,41419,17.4,21.6
Marion,42536,42024,35851,20,31.1
Martin,64602,73367,53825,11.1,17
Mason,49261,63120,36305,9.8,20.1
Matagorda,48150,52241,58305,17.3,24
Maverick,35133,41324,36750,20,27.9
McCulloch,41306,47617,40580,16.2,27.1
McLennan,45772,55148,50313,17,20.7
McMullen,73356,45927,59092,9.7,12
Medina,44456,62600,41110,11.2,17.2
Menard,41220,41477,29615,19.1,34.5
Midland,126631,92117,77806,9.7,13.1
Milam,40552,49961,42570,17.4,24
Mills,45663,49089,37742,14.4,22.8
Mitchell,37113,46156,44618,18.7,21.9
Montague,44790,56012,41106,12.4,18.2
Montgomery,65516,85348,61130,8.2,10.9
Moore,51476,53341,50466,10.6,14.8
Morris,43036,45122,49755,17,25.1
Motley,39505,46712,33077,16.3,27.5
Nacogdoches,41188,49375,42131,19.5,23.5
Navarro,42869,50778,41888,14.8,21.9
Newton,36839,45769,39530,21.3,27.9
Nolan,48017,41720,46507,17.2,24.4
Nueces,47999,55727,50947,17.5,25.9
Ochiltree,59892,71477,47468,9.2,14.2
Oldham,56033,61013,46949,14,28.8
Orange,48173,61323,56502,15.1,21.1
Palo Pinto,45095,59450,45971,13.9,20.9
Panola,47191,51936,48341,15.3,19.5
Parker,59929,88617,47844,8,9.8
Parmer,57137,61989,49887,12.2,17.7
Pecos,40391,52792,51136,16.5,19.7
Polk,42830,47535,43359,15,22.9
Potter,49498,45903,50196,20.8,29.2
Presidio,53222,39967,45784,19.4,32.4
Rains,38200,59195,35774,13.6,20.3
Randall,52391,71041,46641,9.6,11.6
Reagan,54091,66711,68513,8.3,10.1
Real,40667,43076,28919,16.4,32.1
Red River,47762,46727,40502,15.7,25.6
Reeves,44232,64863,64150,19,20.5
Refugio,48266,48433,40982,15.3,23.7
Roberts,52804,69927,51258,6.4,9.1
Robertson,45866,55218,49019,14.2,23.2
Rockwall,64943,106225,46899,4.8,6.4
Runnels,44352,50972,39781,14.3,21.4
Rusk,39551,56954,45044,14.2,18.1
Sabine,40477,51046,39074,16,25.4
San Augustine,43642,45781,42244,19.6,29.7
San Jacinto,39298,51575,37993,16.1,26.1
San Patricio,48391,56944,51055,14.8,21.6
San Saba,40340,48349,38947,17.4,26.1
Schleicher,46015,54471,48877,13.2,19
Scurry,47272,57158,56062,13.8,17.6
Shackelford,86294,64931,53684,12.5,15.8
Shelby,44038,41194,41915,18,24.4
Sherman,91855,66408,49009,11.3,16.9
Smith,57076,60735,49365,12.7,18.2
Somervell,50164,67984,66457,8.3,12.8
Starr,32146,35716,34150,25.2,35.3
Stephens,45759,48911,40304,15.6,23.5
Sterling,63329,68435,47997,10.2,13.5
Stonewall,59419,59802,42791,14.3,22.5
Sutton,56622,64612,60928,11.7,17.3
Swisher,53734,39897,40172,19.6,27.2
Tarrant,55615,72064,60926,10.5,15.4
Taylor,52429,52974,46215,12.2,16.9
Terrell,61631,42849,44359,14,13.2
Terry,41634,47292,43348,18.5,27.4
Throckmorton,44582,46820,32520,13.5,27.7
Titus,41207,52973,42361,14.3,21.4
Tom Green,52947,55990,46795,12,16.6
Travis,74032,82605,77141,10.2,10.9
Trinity,39206,47685,36889,16.8,26.5
Tyler,36694,48809,38948,18.9,27.9
Upshur,39674,58231,40645,12.6,17.8
Upton,50428,59593,81659,12.1,17
Uvalde,45255,49275,38979,19,30.7
Val Verde,41079,54346,40486,15.6,24.3
Van Zandt,42656,57891,37992,12.9,17.7
Victoria,53881,53583,47604,16.5,24.4
Walker,32334,43002,44117,18,20.8
Waller,44779,69460,46927,12.6,17.4
Ward,48109,57257,61555,9.8,14.4
Washington,58426,62667,43844,11.7,17.6
Webb,35626,56588,39642,19.9,30.3
Wharton,48384,55887,43794,13.8,20.6
Wheeler,48691,49838,46913,13.5,20.3
Wichita,46322,54659,43180,16,20.9
Wilbarger,49537,51774,40636,14.6,21.1
Willacy,31710,40190,40729,24.7,34
Williamson,56693,91507,66434,5.6,6.3
Wilson,49745,74529,42237,9.4,11.5
Winkler,62259,77960,71009,11.8,16.9
Wise,48435,71636,49567,10,12.4
Wood,42978,61886,40819,13.5,21.4
Yoakum,44395,67132,63164,10.8,14.9
Young,53227,54569,45104,14.8,22.1
Zapata,28981,39876,48249,24.6,39.5
Zavala,33303,34898,41015,27.2,39
